movieId,title,genres
147,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
148,"Doom Generation, The (1995)",Comedy|Crime|Drama
149,First Knight (1995),Action|Drama|Romance
150,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
151,Hackers (1995),Action|Adventure|Crime|Thriller
152,Jeffrey (1995),Comedy|Drama
153,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
154,Judge Dredd (1995),Action|Crime|Sci-Fi
155,Jury Duty (1995),Comedy
156,Kids (1995),Drama
157,Living in Oblivion (1995),Comedy
158,Lord of Illusions (1995),Horror
159,Love & Human Remains (1993),Comedy|Drama
160,Mad Love (1995),Drama|Romance
161,Mallrats (1995),Comedy|Romance
162,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
163,Moonlight and Valentino (1995),Drama|Romance
164,Mute Witness (1994),Comedy|Horror|Thriller
165,Nadja (1994),Drama
166,"Net, The (1995)",Action|Crime|Thriller
167,Nine Months (1995),Comedy|Romance
168,Party Girl (1995),Comedy
169,"Prophecy, The (1995)",Fantasy|Horror|Mystery
170,Reckless (1995),Comedy|Fantasy
171,Safe (1995),Thriller
172,"Scarlet Letter, The (1995)",Drama|Romance
173,Showgirls (1995),Drama
174,Smoke (1995),Comedy|Drama
175,Something to Talk About (1995),Comedy|Drama|Romance
176,Species (1995),Horror|Sci-Fi
177,"Stars Fell on Henrietta, The (1995)",Drama
178,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
179,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
180,"Tie That Binds, The (1995)",Thriller
181,Three Wishes (1995),Drama|Fantasy
182,Total Eclipse (1995),Drama|Romance
183,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
184,Under Siege 2: Dark Territory (1995),Action
185,Unstrung Heroes (1995),Comedy|Drama
186,Unzipped (1995),Documentary
187,"Walk in the Clouds, A (1995)",Drama|Romance
188,Waterworld (1995),Action|Adventure|Sci-Fi
189,White Man's Burden (1995),Drama
190,Wild Bill (1995),Western
191,"Browning Version, The (1994)",Drama
192,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
193,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
194,Before the Rain (Pred dozhdot) (1994),Drama|War
195,Before Sunrise (1995),Drama|Romance
196,Billy Madison (1995),Comedy
197,"Babysitter, The (1995)",Drama|Thriller
198,Boys on the Side (1995),Comedy|Drama
199,"Cure, The (1995)",Drama
200,Castle Freak (1995),Horror
201,Circle of Friends (1995),Drama|Romance
202,Clerks (1994),Comedy
203,Don Juan DeMarco (1995),Comedy|Drama|Romance
204,Disclosure (1994),Drama|Thriller
205,Drop Zone (1994),Action|Thriller
206,Destiny Turns on the Radio (1995),Comedy
207,Death and the Maiden (1994),Drama|Thriller
208,Dolores Claiborne (1995),Drama|Thriller
209,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
210,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
211,Exotica (1994),Drama
212,Exit to Eden (1994),Comedy
213,Ed Wood (1994),Comedy|Drama
214,French Kiss (1995),Action|Comedy|Romance
215,Forget Paris (1995),Comedy|Romance
216,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
217,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
218,Hideaway (1995),Thriller
219,Fluke (1995),Children|Drama
220,Farinelli: il castrato (1994),Drama|Musical
221,Gordy (1995),Children|Comedy|Fantasy
222,Gumby: The Movie (1995),Animation|Children
223,"Glass Shield, The (1994)",Crime|Drama
224,Hoop Dreams (1994),Documentary
225,Heavenly Creatures (1994),Crime|Drama
226,Houseguest (1994),Comedy
227,Immortal Beloved (1994),Drama|Romance
228,Heavyweights (Heavy Weights) (1995),Children|Comedy
229,"Hunted, The (1995)",Action
230,I.Q. (1994),Comedy|Romance
231,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
232,Jefferson in Paris (1995),Drama
233,"Jerky Boys, The (1995)",Comedy
234,Junior (1994),Comedy|Sci-Fi
235,Just Cause (1995),Mystery|Thriller
236,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
237,Kiss of Death (1995),Crime|Drama|Thriller
238,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
239,Little Women (1994),Drama
240,"Little Princess, A (1995)",Children|Drama
241,Ladybird Ladybird (1994),Drama
242,"Enfer, L' (1994)",Drama
243,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
244,Legends of the Fall (1994),Drama|Romance|War|Western
245,Major Payne (1995),Comedy
246,Little Odessa (1994),Crime|Drama
247,My Crazy Life (Mi vida loca) (1993),Drama
248,Love Affair (1994),Drama|Romance
249,Losing Isaiah (1995),Drama
250,"Madness of King George, The (1994)",Comedy|Drama
251,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
252,Man of the House (1995),Comedy
253,Mixed Nuts (1994),Comedy
254,Milk Money (1994),Comedy|Romance
255,Miracle on 34th Street (1994),Drama
256,Miami Rhapsody (1995),Comedy
257,My Family (1995),Drama
258,Murder in the First (1995),Drama|Thriller
259,Nobody's Fool (1994),Comedy|Drama|Romance
260,Nell (1994),Drama
261,New Jersey Drive (1995),Crime|Drama
262,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
263,Nina Takes a Lover (1994),Comedy|Romance
264,Natural Born Killers (1994),Action|Crime|Thriller
265,Only You (1994),Comedy|Romance
266,Once Were Warriors (1994),Crime|Drama
267,Poison Ivy II (1996),Drama|Thriller
268,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
269,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
270,"Perez Family, The (1995)",Comedy|Romance
271,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
272,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
273,Panther (1995),Drama
274,Pushing Hands (Tui shou) (1992),Drama
275,Priest (1994),Drama
276,Quiz Show (1994),Drama
277,Picture Bride (Bijo photo) (1994),Drama|Romance
278,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
279,"Quick and the Dead, The (1995)",Action|Thriller|Western
280,Roommates (1995),Comedy|Drama
281,Ready to Wear (Pret-A-Porter) (1994),Comedy
282,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
283,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
284,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
285,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
286,Rent-a-Kid (1995),Comedy
287,Stuart Saves His Family (1995),Comedy
288,"Swan Princess, The (1994)",Animation|Children
289,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
290,"Specialist, The (1994)",Action|Drama|Thriller
291,Stargate (1994),Action|Adventure|Sci-Fi
292,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
293,"Shawshank Redemption, The (1994)",Crime|Drama
294,Shallow Grave (1994),Comedy|Drama|Thriller
295,Suture (1993),Film-Noir|Thriller
296,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
297,Swimming with Sharks (1995),Comedy|Drama
298,"Sum of Us, The (1994)",Comedy|Drama
299,National Lampoon's Senior Trip (1995),Comedy
300,To Live (Huozhe) (1994),Drama
301,Tank Girl (1995),Action|Comedy|Sci-Fi
302,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
303,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
304,Tales from the Hood (1995),Action|Crime|Horror
305,Tom & Viv (1994),Drama
306,Village of the Damned (1995),Horror|Sci-Fi
307,Tommy Boy (1995),Comedy
308,Vanya on 42nd Street (1994),Drama
309,Underneath (1995),Mystery|Thriller
310,"Walking Dead, The (1995)",Drama|War
311,What's Eating Gilbert Grape (1993),Drama
312,Virtuosity (1995),Action|Sci-Fi|Thriller
313,While You Were Sleeping (1995),Comedy|Romance
314,"War, The (1994)",Adventure|Drama|War
315,Double Happiness (1994),Drama
316,Muriel's Wedding (1994),Comedy
317,"Baby-Sitters Club, The (1995)",Children
318,Ace Ventura: Pet Detective (1994),Comedy
319,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
320,Backbeat (1993),Drama|Musical
321,Bitter Moon (1992),Drama|Film-Noir|Romance
322,Bullets Over Broadway (1994),Comedy
323,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
324,"Client, The (1994)",Drama|Mystery|Thriller
325,"Corrina, Corrina (1994)",Comedy|Drama|Romance
326,Crooklyn (1994),Comedy|Drama
327,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
328,Cobb (1994),Drama
329,"Flintstones, The (1994)",Children|Comedy|Fantasy
330,Forrest Gump (1994),Comedy|Drama|Romance|War
331,Four Weddings and a Funeral (1994),Comedy|Romance
332,Higher Learning (1995),Drama
333,I Like It Like That (1994),Comedy|Drama|Romance
334,I Love Trouble (1994),Action|Comedy
335,It Could Happen to You (1994),Comedy|Drama|Romance
336,"Jungle Book, The (1994)",Adventure|Children|Romance
337,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
338,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
339,Little Buddha (1993),Drama
340,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
341,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
342,Maverick (1994),Adventure|Comedy|Western
343,Mrs. Parker and the Vicious Circle (1994),Drama
344,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
345,"Paper, The (1994)",Comedy|Drama
346,Reality Bites (1994),Comedy|Drama|Romance
347,Red Rock West (1992),Thriller
348,Richie Rich (1994),Children|Comedy
349,Safe Passage (1994),Drama
350,"River Wild, The (1994)",Action|Thriller
351,Speed (1994),Action|Romance|Thriller
352,Speechless (1994),Comedy|Romance
353,Timecop (1994),Action|Sci-Fi|Thriller
354,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
355,When a Man Loves a Woman (1994),Drama|Romance
356,Wolf (1994),Drama|Horror|Romance|Thriller
357,Wyatt Earp (1994),Western
358,Bad Company (1995),Action|Crime|Drama
359,"Man of No Importance, A (1994)",Drama
360,S.F.W. (1994),Drama
361,"Low Down Dirty Shame, A (1994)",Action|Comedy
362,Boys Life (1995),Drama
363,"Colonel Chabert, Le (1994)",Drama|Romance|War
364,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
365,Jason's Lyric (1994),Crime|Drama
366,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation
367,Street Fighter (1994),Action|Adventure|Fantasy
368,Coldblooded (1995),Comedy
369,"Fear, The (1995)",Horror
370,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
371,In the Mouth of Madness (1995),Horror|Thriller
372,8 Seconds (1994),Drama
373,Above the Rim (1994),Crime|Drama
374,Addams Family Values (1993),Children|Comedy|Fantasy
375,Martin Lawrence: You So Crazy (1994),Comedy|Documentary
376,"Age of Innocence, The (1993)",Drama
377,Airheads (1994),Comedy
378,"Air Up There, The (1994)",Comedy
379,Another Stakeout (1993),Comedy|Thriller
380,Bad Girls (1994),Western
381,Barcelona (1994),Comedy|Romance
382,Being Human (1993),Drama
383,"Beverly Hillbillies, The (1993)",Comedy
384,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
385,Black Beauty (1994),Adventure|Children|Drama
386,Blink (1994),Thriller
387,Blown Away (1994),Action|Thriller
388,Blue Chips (1994),Drama
389,Blue Sky (1994),Drama|Romance
390,Body Snatchers (1993),Horror|Sci-Fi|Thriller
391,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
392,"Bronx Tale, A (1993)",Drama
393,Cabin Boy (1994),Comedy
394,Calendar Girl (1993),Comedy|Drama
395,Carlito's Way (1993),Crime|Drama
396,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
397,Clean Slate (1994),Comedy
398,Cliffhanger (1993),Action|Adventure|Thriller
399,Coneheads (1993),Comedy|Sci-Fi
400,Color of Night (1994),Drama|Thriller
401,Cops and Robbersons (1994),Comedy
402,"Cowboy Way, The (1994)",Action|Comedy|Drama
403,Dave (1993),Comedy|Romance
404,Dazed and Confused (1993),Comedy
405,Demolition Man (1993),Action|Adventure|Sci-Fi
406,"Endless Summer 2, The (1994)",Adventure|Documentary
407,Even Cowgirls Get the Blues (1993),Comedy|Romance
408,Fatal Instinct (1993),Comedy
409,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
410,"Favor, The (1994)",Comedy|Romance
411,Fearless (1993),Drama
412,Fear of a Black Hat (1994),Comedy
413,With Honors (1994),Comedy|Drama
414,Flesh and Bone (1993),Drama|Mystery|Romance
415,Widows' Peak (1994),Drama
416,For Love or Money (1993),Comedy|Romance
417,"Firm, The (1993)",Drama|Thriller
418,Free Willy (1993),Adventure|Children|Drama
419,Fresh (1994),Crime|Drama|Thriller
420,"Fugitive, The (1993)",Thriller
421,Geronimo: An American Legend (1993),Drama|Western
422,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
423,Getting Even with Dad (1994),Comedy
424,Go Fish (1994),Drama|Romance
425,"Good Man in Africa, A (1994)",Action|Adventure
426,Guilty as Sin (1993),Crime|Drama|Thriller
427,Hard Target (1993),Action|Adventure|Crime|Thriller
428,Heaven & Earth (1993),Action|Drama|War
429,Hot Shots! Part Deux (1993),Action|Comedy|War
430,Live Nude Girls (1995),Comedy
431,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
432,"House of the Spirits, The (1993)",Drama|Romance
433,House Party 3 (1994),Comedy
434,"Hudsucker Proxy, The (1994)",Comedy
435,I'll Do Anything (1994),Comedy|Drama
436,In the Army Now (1994),Comedy|War
437,In the Line of Fire (1993),Action|Thriller
438,In the Name of the Father (1993),Drama
439,"Inkwell, The (1994)",Comedy|Drama
440,What's Love Got to Do with It? (1993),Drama|Musical
441,Jimmy Hollywood (1994),Comedy|Crime|Drama
442,Judgment Night (1993),Action|Crime|Thriller
443,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
444,Kalifornia (1993),Drama|Thriller
445,Killing Zoe (1994),Crime|Drama|Thriller
446,King of the Hill (1993),Drama
447,Lassie (1994),Adventure|Children
448,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
449,Life with Mikey (1993),Comedy
450,Lightning Jack (1994),Comedy|Western
451,M. Butterfly (1993),Drama|Romance
452,Made in America (1993),Comedy
453,Malice (1993),Thriller
454,"Man Without a Face, The (1993)",Drama
455,Manhattan Murder Mystery (1993),Comedy|Mystery
456,Menace II Society (1993),Action|Crime|Drama
457,Executive Decision (1996),Action|Adventure|Thriller
458,In the Realm of the Senses (Ai no corrida) (1976),Drama
459,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
460,Much Ado About Nothing (1993),Comedy|Romance
461,Mr. Jones (1993),Drama|Romance
462,Mr. Wonderful (1993),Comedy|Romance
463,Mrs. Doubtfire (1993),Comedy|Drama
464,Naked (1993),Drama
465,"Next Karate Kid, The (1994)",Action|Children|Romance
466,"New Age, The (1994)",Drama
467,No Escape (1994),Action|Drama|Sci-Fi
468,North (1994),Comedy
469,Orlando (1992),Drama|Fantasy|Romance
470,"Perfect World, A (1993)",Crime|Drama|Thriller
471,Philadelphia (1993),Drama
472,"Piano, The (1993)",Drama|Romance
473,Poetic Justice (1993),Drama
474,"Program, The (1993)",Action|Drama
475,"Puppet Masters, The (1994)",Horror|Sci-Fi
476,Radioland Murders (1994),Comedy|Mystery|Romance
477,"Ref, The (1994)",Comedy
478,"Remains of the Day, The (1993)",Drama|Romance
479,Renaissance Man (1994),Comedy|Drama
480,Rising Sun (1993),Action|Drama|Mystery
481,"Road to Wellville, The (1994)",Comedy
482,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
483,Robin Hood: Men in Tights (1993),Comedy
484,Romeo Is Bleeding (1993),Crime|Thriller
485,Romper Stomper (1992),Action|Drama
486,Ruby in Paradise (1993),Drama
487,Rudy (1993),Drama
488,"Saint of Fort Washington, The (1993)",Drama
489,"Savage Nights (Nuits fauves, Les) (1992)",Drama
490,Schindler's List (1993),Drama|War
491,"Scout, The (1994)",Comedy|Drama
492,Searching for Bobby Fischer (1993),Drama
493,"Secret Garden, The (1993)",Children|Drama
494,Serial Mom (1994),Comedy|Crime|Horror
495,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
496,Shadowlands (1993),Drama|Romance
497,Short Cuts (1993),Drama
498,"Simple Twist of Fate, A (1994)",Drama
499,Sirens (1994),Drama
500,Six Degrees of Separation (1993),Drama
501,Sleepless in Seattle (1993),Comedy|Drama|Romance
502,Sliver (1993),Thriller
503,Blade Runner (1982),Action|Sci-Fi|Thriller
504,Son in Law (1993),Comedy|Drama|Romance
505,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
506,Striking Distance (1993),Action|Crime
507,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
508,Surviving the Game (1994),Action|Adventure|Thriller
509,Terminal Velocity (1994),Action|Mystery|Thriller
510,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
511,Threesome (1994),Comedy|Romance
512,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
513,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
514,Tombstone (1993),Action|Drama|Western
515,Trial by Jury (1994),Crime|Drama|Thriller
516,True Romance (1993),Crime|Thriller
517,"War Room, The (1993)",Documentary
518,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
519,Killer (Bulletproof Heart) (1994),Drama|Thriller
520,Welcome to the Dollhouse (1995),Comedy|Drama
521,Germinal (1993),Drama|Romance
522,Chasers (1994),Comedy
523,Cronos (1993),Drama|Horror
524,Naked in New York (1994),Comedy|Romance
525,Kika (1993),Comedy|Drama
526,Bhaji on the Beach (1993),Comedy|Drama
527,Little Big League (1994),Comedy|Drama
528,"Slingshot, The (Kådisbellan) (1993)",Comedy|Drama
529,"Wedding Gift, The (1994)",Drama|Romance
530,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama
531,Spanking the Monkey (1994),Comedy|Drama
532,"Little Rascals, The (1994)",Children|Comedy
533,Andre (1994),Adventure|Children|Drama
534,Princess Caraboo (1994),Drama
535,"Celluloid Closet, The (1995)",Documentary
536,Métisse (Café au Lait) (1993),Comedy|Drama
537,Dear Diary (Caro Diario) (1994),Comedy|Drama
538,"Brady Bunch Movie, The (1995)",Comedy
539,Home Alone (1990),Children|Comedy
540,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
541,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
542,Terminator 2: Judgment Day (1991),Action|Sci-Fi
543,Dances with Wolves (1990),Adventure|Drama|Western
544,Batman (1989),Action|Crime|Thriller
545,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
546,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
547,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
548,Pinocchio (1940),Animation|Children|Fantasy|Musical
549,Pretty Woman (1990),Comedy|Romance
550,Window to Paris (Okno v Parizh) (1994),Comedy|Fantasy
551,"Wild Bunch, The (1969)",Adventure|Western
552,Love and a .45 (1994),Action|Comedy|Crime
553,"Great Day in Harlem, A (1994)",Documentary
554,"Bye Bye, Love (1995)",Comedy
555,One Fine Day (1996),Drama|Romance
556,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
557,Fargo (1996),Comedy|Crime|Drama|Thriller
558,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
559,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
560,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
561,"Pallbearer, The (1996)",Comedy
562,Jane Eyre (1996),Drama|Romance
563,Loaded (1994),Drama|Thriller
564,Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama
565,"Aristocats, The (1970)",Animation|Children
566,"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama
567,Two Much (1995),Comedy|Romance
568,Ed (1996),Comedy
569,My Favorite Season (1993),Drama
570,"Thin Line Between Love and Hate, A (1996)",Comedy
